Sample Name,Sample SubType,Class,SiO2 (wt%),TiO2 (vol%),Al2O3 (wt%),FeO (vol%),MgO (wt%),MnO (wt%),CaO (wt%),Na2O (wt%),K2O (wt%),P2O5 (wt%),Cr2O3 (vol%),Fe (wt%),Cr (wt%),Mn (wt%),Mg (wt%),Ca (wt%),Al (wt%),Na (wt%),Ti (wt%),La (ppm),Sm (ppm),Eu (ppm),Yb (ppm),Lu (ppm),Ba (ppm),He3 (ccstp/g),He4 (ccstp/g),Ne20 (ccstp/g),Ne21 (ccstp/g),Ne22 (ccstp/g),Ar36 (ccstp/g),Ar38 (ccstp/g),Ar40 (ccstp/g),FeTOT (wt%),FeS (wt%),Fe/Mg,MnO/MgO,FeO/MgO,Al2O3/CaO,La/Lu,Eu/Sm,He3/He4,Ne21/Ne22,Ar40/Ar36,Total REE,major_oxides_mean,iron_related_mean,ree_mean,he_group_mean,ne_group_mean,ar_group_mean,lithophile_mean,siderophile_mean,all_noble_gases_mean,elemental_weight_mean,Fe_Oxidation_Index,Mg_Si_Ratio,Mafic_Index,Eu_Anomaly,Silica_Saturation_Index,Mg_Number,Volatile_Depletion_Index,Refractory_Volatile_Ratio,Metal_Silicate_Proxy
HONOLULU,L5,L,39.305,0.11,2.485,14.02,24.78,0.32,1.88,1.145,0.13,0.185,0.455,22.45,0.3115,0.250333333,14.945,1.345,1.315,0.85,0.064033333,0.282,0.187,0.076,0.198,0.037,3.2,7.65E-07,1.19E-05,1.87E-07,2.06E-07,2.25E-07,3.94E-08,2.29E-08,5.80E-05,22.45,6.63,1.50217464,0.01291364,0.565778854,1.321808511,7.621621622,0.406417112,0.064310924,0.915442813,1472.588832,0.78,8.77875,17.17666667,0.156,6.33E-06,2.06E-07,1.94E-05,4.61375,7.670611111,8.92E-06,5.191358333,0.624498886,0.630454141,0.928451783,0.394966436,1.013015464,0.638659794,0.032438621,3.423529409,0.571174151
GIRGENTI,L6,L,39.48,0.12,1.83,16.535,24.235,0.35,1.76,1.14,0.1,0.24,0.65,23.15666667,0.433666667,0.268333333,14.615,1.255,0.9685,0.826666667,0.06705,0.369,0.217,0.078,0.22,0.041,3.5,4.57E-07,5.29E-06,1.03E-07,1.13E-07,1.20E-07,2.00E-08,1.53E-08,2.53E-05,23.585,5.835,1.584445205,0.014441923,0.682277698,1.039772727,9,0.359447005,0.086427221,0.942643392,1266.5,0.925,8.641875,17.52555556,0.185,2.87E-06,1.12E-07,8.46E-06,4.416291667,7.952888889,3.93E-06,5.198860417,0.71404923,0.613855116,0.986928105,0.356987816,0.968359088,0.594432181,0.031408308,2.895161288,0.586541709
LOUISVILLE,L6,L,40.73,0.13,2.22,15.09,25.45,0.36,1.8,0.96,0.11,0.19,0.55,21.725,0.376,0.27075,15.025,1.29,1.1775,0.6925,0.073075,0.5725,0.2005,0.077,0.211,0.0395,3.205,5.07E-07,4.18E-06,1.33E-07,1.23E-07,1.34E-07,2.06E-08,1.53E-08,4.90E-06,20.65,4.83,1.445923461,0.014145383,0.592927308,1.233333333,14.49367089,0.3840399,0.092733711,0.92256899,238.229572,1.1005,8.9775,15.735,0.2201,2.34E-06,1.30E-07,1.64E-06,4.54625,7.45725,1.25E-06,5.078728125,0.694591484,0.62484655,0.943888242,0.374362472,1.004686729,0.627775037,0.026270562,3.757009342,0.533390621
YAMATO 74362,L6,L,38.63,0.14,2.38,15.62,25.38,0.32,1.73,0.88,0.12,0.25,0.43,22.6,0.294,0.248,15.3,1.24,1.26,0.653,0.06805,0.355,0.214,0.0831,0.235,0.0378,4.92,2.57E-07,6.53E-06,6.04E-08,6.43E-08,7.24E-08,1.18E-08,8.10E-09,6.39E-05,22.62,6.03,1.477124183,0.012608353,0.615445232,1.375722543,9.391534392,0.388317757,0.039356815,0.888121547,5415.254237,0.9249,8.71125,17.08333333,0.18498,3.39E-06,6.57E-08,2.13E-05,4.61325,7.714,8.86E-06,5.20788125,0.691150442,0.65700233,0.999756157,0.370561422,0.942195122,0.61902439,0.025886617,4.109999996,0.585037536
NEW CONCORD,L6,L,38.52833333,0.121666667,2.136666667,13.73333333,24.33666667,0.331,1.711666667,0.83,0.1125,0.216666667,0.548,19.81,0.36725,0.261,14.7075,1.2398,1.12575,0.607333333,0.07304,0.318,0.202,0.078,0.212,0.038,3.34,3.57E-08,2.43E-06,6.00E-09,1.13E-08,9.50E-09,0.002823154,0.002346952,1.483026984,22.0475,6.106666667,1.346931837,0.013600877,0.564306259,1.248296008,8.368421053,0.386138614,0.014705155,1.182042918,525.3085237,0.848,8.5254375,15.98805556,0.1696,1.23E-06,8.92E-09,0.496065697,4.420095833,6.81275,0.186024947,4.773959167,0.693252566,0.631656357,0.936185909,0.376921565,1.012039226,0.63926101,0.024462517,4.083112286,0.514167063
YAMATO 75097,L6,L,39.71,0.21,2.6,15.77,26.03,0.34,1.82,0.95,0.08,0.26,0.58,20.06666667,0.375666667,0.263,15.3,4.9025,1.285,0.724666667,0.093,0.431333333,0.267333333,0.091733333,0.283,0.046866667,3.74,2.384000317,27.20000278,2.678000069,1.715000079,2.350000082,0.138333353,0.11500001,72.66666861,20.91,5.94,1.311546841,0.013061852,0.605839416,1.428571429,9.20341394,0.343142145,0.087647062,0.729787242,525.3011459,1.120266667,8.97375,15.63888889,0.224053333,14.79200155,2.247666743,24.30666732,5.553041667,6.901777778,13.65587566,5.3763125,0.785880399,0.655502392,0.987946112,0.333508878,0.95,0.622727273,0.025938051,4.291262132,0.505330311
HARLETON,L6,L,39.85,0.1,2.14,14.3,24.77,0.33,1.81,0.92,0.1,0.23,0.52,25.25,0.369,0.2535,14.94,1.29,1.1715,0.69,0.06,0.272,0.1786,0.0822,0.2162,0.0331,3.865626894,7.05E-07,5.75E-06,1.28E-07,1.34E-07,1.51E-07,2.28E-08,2.00E-08,9.85E-06,22.6,6.58,1.690093708,0.013322568,0.577311264,1.182320442,8.217522659,0.460246361,0.092733711,0.883325981,432.967033,0.7821,8.76875,18.14333333,0.15642,3.23E-06,1.38E-07,3.30E-06,4.522875,8.624166667,2.09E-06,5.503,0.566336634,0.621580928,0.930459633,0.418314813,1.019964167,0.633990274,0.025595985,3.872549016,0.633626098
ISOULANE-N-AMAHAR,L6,L,38.7,0.26,2.15,19.2,25.25,0.21,2,0.9,0.25,0.18,0.33,22.55,0.226,0.162,15.23,1.43,1.138,0.67,0.156,0.3026,0.1955,0.0705,0.2048,0.0305,3.865626894,3.60E-08,1.05E-06,1.10E-08,9.00E-09,1.12E-08,1.11E-08,3.30E-09,4.33E-06,22.55,3.85,1.480630335,0.008316832,0.76039604,1.075,9.921311475,0.360613811,0.034285714,0.803571429,390.0900901,0.8039,8.705,16.31666667,0.16078,5.43E-07,1.04E-08,1.45E-06,4.617,7.646,6.83E-07,5.19525,0.851441242,0.65245478,1.088127295,0.35233092,0.87064117,0.568053993,0.029715762,3.608695649,0.582687338
YAMATO 7305,L6,L,39.15,0.11,2.08,13.1,24.52,0.38,1.83,1.05,0.13,0.27,0.31,22.77,0.212,0.2785,14.79,1.31,1.1755,0.78,0.066,0.363,0.226,0.0743,0.238,0.0371,3.67,4.18E-07,9.87E-06,9.91E-08,1.02E-07,1.12E-07,4.04E-08,1.90E-08,6.91E-05,22.64,7.57,1.539553753,0.015497553,0.534257749,1.136612022,9.784366577,0.328761062,0.042350557,0.910714286,1710.39604,0.9384,8.67625,17.66,0.18768,5.14E-06,1.04E-07,2.31E-05,4.513875,7.7535,9.97E-06,5.17275,0.575318401,0.626309068,0.912442396,0.320365775,1.040669856,0.651780968,0.030140485,3.313559319,0.581609195
YAMATO 793241,L6,L,38.63,0.07,2.44,15.04,25.66,0.33,1.86,0.93,0.11,0.21,0.54,22.46666667,0.3235,0.261,15.19,1.303333333,1.1555,0.7175,0.051,0.3365,0.2145,0.0812,0.249,0.0376,3.56,4.24E-07,1.47E-05,6.22E-08,6.15E-08,7.44E-08,1.52E-08,9.40E-09,5.58E-05,21.6,6.34,1.47904323,0.012860483,0.586126267,1.311827957,8.949468085,0.378554779,0.02890785,0.827841291,3671.052632,0.9188,8.77125,16.80222222,0.18376,7.54E-06,6.60E-08,1.86E-05,4.591583333,7.683722222,8.89E-06,5.1835625,0.669436202,0.664250582,0.990990991,0.351352223,0.949140049,0.63046683,0.026922081,4.134615381,0.581585987
