Sample Name,Sample SubType,Class,SiO2 (wt%),TiO2 (vol%),Al2O3 (wt%),FeO (vol%),MgO (wt%),MnO (wt%),CaO (wt%),Na2O (wt%),K2O (wt%),P2O5 (wt%),Cr2O3 (vol%),Fe (wt%),Cr (wt%),Mn (wt%),Mg (wt%),Ca (wt%),Al (wt%),Na (wt%),Ti (wt%),La (ppm),Sm (ppm),Eu (ppm),Yb (ppm),Lu (ppm),Ba (ppm),He3 (ccstp/g),He4 (ccstp/g),Ne20 (ccstp/g),Ne21 (ccstp/g),Ne22 (ccstp/g),Ar36 (ccstp/g),Ar38 (ccstp/g),Ar40 (ccstp/g),FeTOT (wt%),FeS (wt%),Fe/Mg,MnO/MgO,FeO/MgO,Al2O3/CaO,La/Lu,Eu/Sm,He3/He4,Ne21/Ne22,Ar40/Ar36,Total REE,major_oxides_mean,iron_related_mean,ree_mean,he_group_mean,ne_group_mean,ar_group_mean,lithophile_mean,siderophile_mean,all_noble_gases_mean,elemental_weight_mean,Fe_Oxidation_Index,Mg_Si_Ratio,Mafic_Index,Eu_Anomaly,Silica_Saturation_Index,Mg_Number,Volatile_Depletion_Index,Refractory_Volatile_Ratio,Metal_Silicate_Proxy
ORGUEIL,CI1,Carbonaceous,25.36555556,0.08,1.704285714,7.064166667,18.99,2.685,20.55208333,0.68,0.061428571,0.252857143,0.388,18.19268276,0.2635,0.186058824,9.21918,0.895353846,0.840991667,0.4871,0.04588,300.2478533,18.90786327,1.279919149,4.576765957,0.688797727,2.47908,1.157105451,7327.561374,28.50976221,0.121463427,3.638367413,106.6647067,16.22709693,56.15385135,19.025,12.63,1.973351508,0.141390205,0.371994032,0.082925205,435.9013415,0.067692427,0.000157911,0.427861287,0.52645203,325.7011994,8.78640129,16.61589425,65.14023989,3664.35924,10.75653102,59.681885,2.860656378,6.214080527,942.504216,3.766343387,0.388297139,0.748653029,0.962479477,0.137588444,0.97357002,0.728866144,0.029229739,30.01822411,0.717219961
KAROONDA,CK4,Carbonaceous,35.662,0.1552,3.592,25.2175,27.134,0.18,2.354,0.555,0.04,0.22,0.37,24.112,0.362322222,0.14381,15.36,1.712888889,1.627625,0.373875,0.09472,0.4443125,0.281823529,0.111294118,0.316176471,0.04591875,4.746333333,7.95E-07,2.62E-05,1.728571543,0.550000126,0.311579009,1.477777793,0.823333392,1.47E-05,22.735,4.055,1.569791667,0.006633744,0.929369057,1.525913339,9.676058255,0.394907118,0.030311427,1.182042918,9.94E-06,1.199525368,8.717125,16.96733333,0.239905074,1.35E-05,0.863383559,0.767041958,4.768597222,8.206044074,0.611412946,5.473405139,1.04584854,0.760865908,1.333660264,0.372836834,0.681203022,0.518304156,0.016684426,9.993277294,0.676125848
LEOVILLE,CV3,Carbonaceous,34.08,0.14,3.46,23.13,24.875,0.19,2.43,0.225,0.025,0.245,0.5,23.33,0.323533333,0.137425,15,1.735,1.83,0.161333333,0.0882,2.52,0.557333333,0.168,0.35675,0.05,36.465,17.83107146,1976.071431,8.020666702,3.868387105,4.82066668,107.5688893,20.53259268,803.7407437,22.945,5.59,1.555333333,0.007638191,0.929849246,1.423868313,50.4,0.301435407,0.009023495,0.802458946,7.471869875,3.652083333,8.19125,17.28833333,0.730416667,996.9512513,5.569906829,310.6140752,4.681583333,7.930319444,367.8068061,5.325686458,0.991427347,0.729900235,1.278769313,0.376764331,0.709926049,0.51817519,0.007335681,23.55999991,0.684565728
ALAIS,CI1,Carbonaceous,33.71666667,0.12,3.083333333,17.37,24.65666667,0.33,1.92,0.933333333,0.076666667,0.316666667,0.476666667,17.292,0.242242857,0.199128571,10.06,0.7634,1.022166667,0.5006,0.04532,0.227,0.3651,0.05712,0.1622,0.02367,2.38,9.86E-08,8.03E-05,3.78E-07,1.69E-08,6.24E-08,7.93E-07,1.49E-07,4.02E-06,17.38,17.71,1.71888668,0.013383804,0.704474787,1.605902778,9.590198564,0.156450288,0.001228821,0.427861287,5.073560319,0.83509,8.129166667,17.46066667,0.167018,4.02E-05,1.52E-07,1.66E-06,3.086541667,5.91112381,1.07E-05,3.765607262,1.004510756,0.731290163,1.142028985,0.234723653,0.802268401,0.58669099,0.029955512,4.953795375,0.512862086
EFREMOVKA,CV3,Carbonaceous,34.57333333,0.150666667,3.283333333,22.14,24.33333333,0.200666667,2.476666667,0.206666667,0.024666667,0.295333333,0.53,22.59125,0.36075,0.1494,14.586,1.59,1.6684,0.244625,0.0936,0.4555,0.29975,0.0955,0.35375,0.04275,25.4,1.13E-06,0.00794025,4.24E-05,1.62E-07,5.02E-06,8.77E-06,1.72E-06,5.63E-06,22.16,5.68,1.548831071,0.008246575,0.909863014,1.325706595,10.65497076,0.318598832,0.000142899,0.427861287,0.64246341,1.24725,8.17425,16.81041667,0.24945,0.003970692,1.59E-05,5.38E-06,4.52225625,7.700466667,0.001000635,5.160503125,0.980025452,0.703817971,1.227612926,0.293275342,0.743939177,0.523597762,0.006691091,24.89913534,0.653429907
MIGHEI,CM2,Carbonaceous,26.51428571,0.148,2,23.23714286,17.18,0.23,1.527142857,1.1175,0.105,0.3,0.451666667,21.20604286,0.3191125,0.182825,11.92006667,1.249816667,1.154071429,0.509957143,0.060725,0.324583333,0.2066,0.07905,0.225033333,0.034433333,3.065,3.00E-08,7.20E-05,2.86E-07,7.41E-09,2.70E-08,1.28E-06,1.29E-07,1.07E-05,20.99,10.05,1.779020491,0.01338766,1.352569433,1.309635173,9.42642788,0.382623427,0.000417326,0.427861287,8.381069226,0.8697,6.121741071,17.41534762,0.17394,3.60E-05,1.07E-07,4.04E-06,3.708477976,7.235993452,1.06E-05,4.575327158,1.095779303,0.647952586,1.41743487,0.366617581,0.656015835,0.425067157,0.04610722,2.885188429,0.799796875
BORISKINO,CM2,Carbonaceous,27.155,0.125,2.7,12.625,18.80333333,0.883333333,11.08666667,0.925,0.12,0.32,0.355,17.6475,0.27714,0.162356,11.978172,1.19951,1.233328,0.504432,0.067215,0.380666667,0.211666667,0.079266667,0.227666667,0.032466667,3.085,4.14E-08,0.000127563,5.35E-07,2.96E-09,5.06E-08,6.05E-07,1.15E-07,1.19E-05,21.495,9.19,1.473304942,0.046977486,0.671423506,0.243535779,11.724846,0.374488189,0.000324771,0.427861287,19.69014666,0.931733333,7.749166667,16.11083333,0.186346667,6.38E-05,1.96E-07,4.21E-06,3.7288605,6.028998667,1.76E-05,4.133706625,0.715398782,0.692444608,1.052699157,0.361089312,0.864029273,0.598292411,0.038482784,13.19298244,0.649880317
GROSNAJA,CV3,Carbonaceous,31.17333333,0.1485,2.15,27.2,22.35,0.19,2.06,0.66,0.03,0.39,0.45,23.35166667,0.320166667,0.155985714,13.392,1.8394,1.401,0.382833333,0.084575,0.4346,0.2446,0.0975,0.2713,0.0384,6.908806031,1.14E-08,1.72E-05,6.38E-08,6.00E-09,1.37E-08,2.54E-07,9.78E-08,1.22E-05,24.85,5.76,1.743702708,0.008501119,1.217002237,1.04368932,11.31770833,0.398609975,0.000666882,0.43956044,47.90374705,1.0864,7.375416667,17.98722222,0.21728,8.59E-06,2.78E-08,4.18E-06,4.253808333,7.942606349,3.72E-06,5.115953423,1.164799086,0.716958939,1.486946084,0.378487456,0.629128826,0.451059536,0.022134303,6.101449267,0.749091103
BALI,CV3,Carbonaceous,33.78,0.163333333,3.163333333,26.09333333,24.54,0.196666667,2.613333333,0.526666667,0.06,0.256666667,0.47,18.89,0.33405,0.150725,14.6125,1.8045,1.357,0.3805,0.0845,0.474,0.28525,0.097166667,0.310666667,0.04465,6.908806031,2.59E-07,2.45E-05,1.73E-07,9.66E-08,1.13E-07,2.94E-07,6.47E-08,1.54E-05,23.36,4.673333333,1.292728828,0.008014127,1.063298017,1.210459184,10.61590146,0.340636868,0.010551331,0.85608747,52.48130523,1.211733333,8.142083333,15.64111111,0.242346667,1.24E-05,1.28E-07,5.27E-06,4.538625,6.458258333,5.12E-06,4.701721875,1.38133051,0.726465364,1.370567536,0.326405259,0.66714944,0.484660961,0.017367278,9.846590892,0.559206631
YAMATO 82162,C1/2-UNG,Carbonaceous,26.99,0.23,2.26,10.85,20.19,0.31,2.04,0.87,0.13,0.36,0.48,24.205,0.328,0.216333333,11.445,1.185,1.032,0.516666667,0.073333333,0.263,0.193666667,0.067,0.140333333,0.0307,2.8,8.60E-09,5.04E-05,2.10E-07,1.10E-09,2.47E-08,9.16E-07,1.75E-07,4.30E-06,22.81,20.08,2.114897335,0.015354136,0.53739475,1.107843137,8.566775244,0.34595525,0.000170635,0.427861287,4.694323144,0.6947,6.64375,22.365,0.13894,2.52E-05,7.86E-08,1.80E-06,3.544666667,8.249777778,7.00E-06,4.875166667,0.448254493,0.748054835,1.061196581,0.406412391,0.869523196,0.650451031,0.03705076,4.299999996,0.896813635
BANTEN,CM2,Carbonaceous,32.27,0.13,2.695,25.76,21.87,0.27,1.945,0.87,0.08,0.265,0.395,12.44,0.264333333,0.178,11.17666667,1.453333333,1.09,0.427666667,0.060666667,0.5585,0.1965,0.076,0.22,0.033,3.15,2.379366742,0.00804,4.02E-05,0.421774761,8.606007785,9.65E-06,13.91674682,148.4118967,22.09,6.28,1.113033105,0.012345679,1.177869227,1.385604113,16.92424242,0.386768448,0.092733711,0.427861287,7225.933511,1.084,7.533125,13.60333333,0.2168,1.193703371,3.009274249,54.10955106,3.536916667,4.294111111,21.71798533,3.386333333,2.07073955,0.677719244,1.362219362,0.365528271,0.677514172,0.459164392,0.029439108,4.884210521,0.385497366
TONK,CI1,Carbonaceous,22.42,0.09,1.92,9.4,13.71,0.15,1.34,3.24,0.36,0.11,0.12,18.11,0.1755,0.128,8.27,0.905,1.016,1.483,0.054,0.22,0.15,0.053,0.16,0.024,6.908806031,5.10E-08,0.000146,3.90E-07,4.50E-09,4.60E-08,8.00E-07,1.48E-07,3.20E-06,17.87,16.11,2.189842805,0.010940919,0.685630926,1.432835821,9.166666667,0.353333333,0.000349315,0.427861287,4,0.607,5.40625,17.36333333,0.1214,7.30E-05,1.47E-07,1.38E-06,2.9185,6.137833333,1.88E-05,3.7676875,0.519050248,0.611507582,0.9494659,0.342113527,0.970142795,0.593249675,0.160570919,0.905555555,0.807760928
MOKOIA,CV3,Carbonaceous,32.8475,0.136666667,3.15,27.74,24.27333333,0.193333333,2.723333333,0.5,0.04,0.276666667,0.52,23.57,0.35396,0.148333333,14.6025,1.9082,1.638,0.35325,0.081333333,0.4235,0.27,0.115,0.3305,0.046583333,6.908806031,5.90E-07,0.001093667,3.47E-06,3.94E-08,3.02E-07,6.97E-07,1.41E-07,2.90E-05,22.98666667,6.74,1.614107173,0.007964845,1.142817907,1.156670747,9.091234347,0.425925926,0.000539165,0.427861287,41.62928405,1.185583333,8.000520833,17.76555556,0.237116667,0.000547128,1.27E-06,9.95E-06,4.6254875,8.024097778,0.000140988,5.331947083,1.176919813,0.738970495,1.444915156,0.384972959,0.631520764,0.466675211,0.016439607,10.87654319,0.717558414
SANTA CRUZ,CM2,Carbonaceous,29.36,0.12,2.19,22.34,21.16,0.19,2.3,0.5,0.12,0.32,0.39,22.475,0.3065,0.16625,13.045,1.393333333,1.203333333,0.407666667,0.07,0.318,0.205,0.079,0.219,0.033,6.908806031,5.19E-08,3.27E-05,1.31E-07,1.73E-08,3.34E-08,4.74E-07,1.03E-07,1.46E-05,23.11,9.04,1.72288233,0.008979206,1.055765595,0.952173913,9.636363636,0.385365854,0.001586137,0.519230769,30.67463106,0.854,7.0175,18.20833333,0.1708,1.64E-05,6.05E-08,5.04E-06,4.012333333,7.64925,6.01E-06,4.883385417,0.993993326,0.720708447,1.378763867,0.372844809,0.674942529,0.486436782,0.021117166,7.241935472,0.765497275
YAMATO 82042,CM1/2,Carbonaceous,25.52,0.15,1.58,6.69,18.79,0.26,1.69,0.48,0.03,0.25,0.43,20.52,0.29,0.1775,11.2,1.003333333,0.998666667,0.35625,0.057333333,0.295,0.2,0.067,0.21,0.03,6.908806031,1.77E-08,3.14E-05,1.23E-07,3.05E-09,1.81E-08,5.50E-07,1.05E-07,5.34E-06,20.17,6.9,1.832142857,0.013837147,0.356040447,0.934911243,9.833333333,0.335,0.000561834,0.427861287,9.709090909,0.802,6.075,15.86333333,0.1604,1.57E-05,4.80E-08,2.00E-06,3.3895625,6.995833333,4.70E-06,4.325385417,0.326023392,0.736285266,0.940221402,0.326926523,1.001569859,0.73744113,0.019984326,6.411764693,0.804075235
YAMATO 86751,CV3,Carbonaceous,32.84,0.11,3.16,24.59,24.45,0.17,2.51,0.41,0.04,0.44,0.49,24.73,0.3405,0.1415,14.145,1.865,1.751,0.29,0.066,0.47,0.31,0.130888783,0.32,0.060045654,6.908806031,2.76E-07,0.000232933,1.46E-06,7.63E-08,1.96E-07,1.65E-06,3.26E-07,1.35E-05,25.61,6.02,1.748320961,0.006952965,1.005725971,1.258964143,7.82737743,0.422221881,0.001186176,0.427861287,8.192307692,1.290934438,8.0025,18.78666667,0.258186888,0.000116605,5.79E-07,5.15E-06,4.51275,8.404,3.13E-05,5.416125,0.99433886,0.744518879,1.362222222,0.415572301,0.669657422,0.498572594,0.013702801,12.59999997,0.753045067
POLLEN,CM2,Carbonaceous,27.5,0.01,1.87,19.6,16.8,0.17,0.68,0.09,0.11,0.263444733,0.4,20.4,0.308,0.171,11,1.4,2.1,0.29,0.070082043,0.322,0.219,0.076,0.21,0.031,6.908806031,8.90E-08,0.00018765,8.55E-07,5.73E-09,7.90E-08,7.45E-07,1.59E-07,5.72E-06,21.97562653,8.985321839,1.854545455,0.010119048,1.166666667,2.75,10.38709677,0.347031963,0.000474554,0.427861287,7.677852349,0.858,5.935430592,17.12031612,0.1716,9.39E-05,3.13E-07,2.21E-06,3.6975,6.959666667,2.44E-05,4.467385255,0.960784314,0.610909091,1.239359891,0.354390348,0.755494505,0.461538462,0.007272727,12.74999994,0.741818182
YAMATO 793321,CM2,Carbonaceous,28.96,0.13,2.38,20.89,20.33,0.22,2,0.6,0.05,0.27,0.45,21.9,0.308,0.1795,11.5,1.34,1.26,0.445,0.0721,0.3505,0.219,0.08385,0.2295,0.03565,3.755,2.379366742,4920.761693,54.05757398,0.421774761,8.606007785,64.76626864,13.91674682,148.4118967,21.77,8.71,1.904347826,0.010821446,1.027545499,1.19,9.831697055,0.382876712,0.000483536,0.427861287,2.291499879,0.9185,6.85125,17.46,0.1837,2461.57053,21.02845218,75.69830406,3.63625,7.4625,651.6651661,4.625575,0.953881278,0.702002762,1.315252074,0.374015553,0.702571567,0.493207181,0.022444751,6.738461528,0.75621547
NAWAPALI,CM2,Carbonaceous,27.08,0.09,2.09,20.67,17.89,0.17,2.2,0.54,0.16,0.26,0.38,21,0.26,0.13,10.79,1.56,1.11,0.4,0.05,10.86840668,0.916342931,0.130888783,0.399761932,0.060045654,6.908806031,9.50E-08,0.000393658,1.98E-06,6.74E-09,1.79E-07,4.28E-07,8.94E-08,7.78E-06,20.94,7.67,1.946246525,0.009502515,1.155394075,0.95,181.0023854,0.142838209,0.000241263,0.427861287,18.16440915,12.37544598,6.29875,16.53666667,2.475089195,0.000196876,7.20E-07,2.77E-06,3.465,7.13,5.05E-05,4.4125,0.984285714,0.660635155,1.321906068,0.216258255,0.702282158,0.463952282,0.025849335,6.12857142,0.775480059
TIBOOBURRA,CV3,Carbonaceous,34.49,0.12,2.65,26.67,24.87,0.21,2.15,0.26,0.05,0.27,0.53,24.23,0.36,0.16,15,1.54,1.4,0.19,0.07,10.86840668,0.916342931,0.130888783,0.399761932,0.060045654,6.908806031,4.22E-07,2.63E-05,1.13E-07,7.54E-08,9.11E-08,8.85E-07,1.74E-07,1.71E-06,24.23,5.51,1.615333333,0.008443908,1.072376357,1.23255814,181.0023854,0.142838209,0.01602126,0.82766191,1.93220339,12.37544598,8.11875,17.99,2.475089195,1.34E-05,9.30E-08,9.23E-07,4.5325,8.25,3.73E-06,5.36875,1.10070161,0.721078573,1.387722132,0.216258255,0.669188979,0.482537835,0.008988112,15.48387092,0.70252247
HARIPURA,CM2,Carbonaceous,27.495,0.085,2.24,18.31,17.22,0.205,1.215,0.495,0.085,0.19,0.41,21.23,0.31,0.15,10.88,1.43,1.2,0.52,0.05,10.86840668,0.916342931,0.130888783,0.399761932,0.060045654,6.908806031,4.15E-09,2.50E-05,8.06E-08,6.50E-10,1.07E-08,3.09E-07,6.11E-08,6.09E-06,21.24,14.93,1.951286765,0.011904762,1.06329849,1.843621399,181.0023854,0.142838209,0.000166333,0.427861287,19.69255663,12.37544598,6.143125,19.13333333,2.475089195,1.25E-05,3.06E-08,2.15E-06,3.5075,7.23,3.94E-06,4.47125,0.862458785,0.62629569,1.194888179,0.216258255,0.773853082,0.48466085,0.021094744,5.956896541,0.772140389
YAMATO 791198,CM2,Carbonaceous,28.41,0.12,2.62,9.24,19.52,0.27,1.65,0.15,0.03,0.26,0.42,21.1,0.287,0.209,11.8,1.18,1.39,0.111,0.072,10.86840668,0.916342931,0.130888783,0.399761932,0.060045654,6.908806031,3.590909091,6284.545455,31.90818182,1.218181818,4.987272727,89.90090909,16.96,652.2727273,21.14,8.03,1.788135593,0.013831967,0.473360656,1.587878788,181.0023854,0.142838209,0.000571387,0.427861287,7.255463086,12.37544598,6.61375,16.75666667,2.475089195,3144.068182,12.70454545,253.0445455,3.62025,7.198666667,885.6729545,4.518625,0.437914692,0.687082013,0.926844989,0.216258255,0.98783032,0.678720445,0.006335797,23.72222209,0.742696234
KABA,CV3,Carbonaceous,31.79333333,0.113333333,3.24,31.15333333,22.72666667,0.166666667,1.98,0.5,0.06,0.243333333,0.46,25.685,0.3535,0.15595,13.68,1.373,1.329,0.342,0.0568,10.86840668,0.916342931,0.130888783,0.399761932,0.060045654,6.908806031,4.17E-08,2.31E-05,1.17E-07,3.72E-08,5.25E-08,4.16E-07,8.77E-08,5.74E-06,24.28,8.985321839,1.87755848,0.007333529,1.370783221,1.636363636,181.0023854,0.142838209,0.001799525,0.708710138,13.79248229,12.37544598,7.58875,19.65010728,2.475089195,1.16E-05,6.88E-08,2.08E-06,4.181,8.731483333,3.70E-06,5.37190625,1.212899877,0.714824911,1.537963844,0.216258255,0.590076714,0.421801534,0.017613756,9.321428555,0.807873768
YAMATO 74662,CM2,Carbonaceous,29.18,0.22,2.38,22.53,19.29,0.22,1.7,0.28,0.04,0.23,0.52,22.36666667,0.352,0.181666667,11.73333333,1.25,1.196666667,0.16775,0.09805,0.33,0.223,0.079,0.2055,0.0315,3.34,2.379366742,4920.761693,54.05757398,0.421774761,8.606007785,64.76626864,13.91674682,148.4118967,22.2,7.38,1.90625,0.011404873,1.167962675,1.4,10.47619048,0.35426009,0.000483536,0.427861287,2.291499879,0.869,6.665,17.31555556,0.1738,2461.57053,21.02845218,75.69830406,3.5869375,7.633444444,651.6651661,4.668266667,1.007302533,0.661069225,1.325095057,0.369036009,0.697752272,0.461262554,0.010966415,12.74999996,0.76650674
AXTELL,CV3,Carbonaceous,34.3,0.18,3.18,22.45,23.48,0.14,2.04,0.06,0.02,0.19,0.49,23.74,0.3405,0.147,14.65,1.11,1.52,0.384475246,0.082,10.86840668,0.916342931,0.130888783,0.399761932,0.060045654,6.908806031,2.24E-07,2.29E-05,8.56E-08,5.41E-08,6.23E-08,1.02E-07,2.59E-08,2.11E-06,23.07,8.985321839,1.620477816,0.005962521,0.956132879,1.558823529,181.0023854,0.142838209,0.009782894,0.869379015,20.74852265,12.37544598,7.92625,18.59844061,2.475089195,1.16E-05,6.73E-08,7.45E-07,4.416118812,8.075833333,3.19E-06,5.246746906,0.945661331,0.684548105,1.225453575,0.216258255,0.746788591,0.511212715,0.002332362,65.24999918,0.69212828
JBILET WINSELWAN,CM2,Carbonaceous,35.4,2.4,0.08,32.98,22.53,0.24,0.94,0.7,0.14,0.05,0.43020376,23.5763,0.3316,0.18155,12.3729,1.0076,1.2395,0.31,0.06195,0.377666667,0.229666667,0.0859,0.244666667,0.038466667,10.58333333,2.379366742,4920.761693,54.05757398,0.421774761,8.606007785,64.76626864,13.91674682,148.4118967,21.97562653,8.985321839,1.90547891,0.010652463,1.46382601,0.085106383,9.818024263,0.374020319,0.000483536,0.427861287,2.291499879,0.976366667,7.51,18.17908279,0.195273333,2461.57053,21.02845218,75.69830406,3.7325,8.029816667,651.6651661,4.885175,1.398862417,0.636440678,1.564543405,0.362373788,0.637722933,0.405872816,0.023728814,1.214285713,0.665997175
ERAKOT,CM2,Carbonaceous,27.35,0.09,1.97,28.84,19.12,0.23,1.61,0.74,0.075489823,0.33,0.43,22.42,0.294,0.178,11.53,1.15,1.043,0.55,0.054,10.86840668,0.916342931,0.130888783,0.399761932,0.060045654,6.908806031,5.33E-08,1.83E-05,8.40E-08,1.55E-08,2.72E-08,3.82E-07,7.95E-08,1.29E-05,22.42,8.985321839,1.944492628,0.012029289,1.508368201,1.223602484,181.0023854,0.142838209,0.002917808,0.570902394,33.63874346,12.37544598,6.428186228,17.94177395,2.475089195,9.15E-06,4.22E-08,4.44E-06,3.56825,7.630666667,3.97E-06,4.652375,1.286351472,0.699085923,1.63574352,0.216258255,0.570266889,0.398665555,0.029816813,4.389999601,0.819744058
GRAVES NUNATAKS 95229,CR2 CHONDRITE,Carbonaceous,30.11446207,0.19394923,2.531621148,21.92673459,20.73109722,0.330723039,3.149509921,0.612809727,0.075489823,0.263444733,0.43020376,17.80355,0.3967,0.1713,20.3505,1.3554,1.2414,0.2887,0.0609,0.325,0.224,0.0841,0.254,0.0377,2.95,5.23E-07,0.001428,4.52E-06,2.81E-08,3.83E-07,1.90E-06,3.64E-07,1.02E-05,21.97562653,8.985321839,0.874845827,0.015952993,1.057673618,0.803814312,8.620689655,0.375446429,0.000366036,0.427861287,5.390295359,0.9248,7.22614471,16.25483279,0.18496,0.000714261,1.65E-06,4.16E-06,5.809,6.12385,0.000180742,5.20855625,1.231593395,0.688410013,1.306675338,0.352577932,0.705953884,0.485985723,0.022856113,8.253864278,0.591196016
ARCH,CV3,Carbonaceous,30.11446207,0.19394923,2.531621148,21.92673459,20.73109722,0.330723039,3.149509921,0.612809727,0.075489823,0.263444733,0.43020376,24.2,0.351,0.139,13.82,1.39,1.92,0.0622,0.11,2.83,0.52,0.14,0.37,0.057,6.908806031,1.10E-06,0.002653,7.65E-06,8.51E-08,6.98E-07,1.05E-06,2.10E-07,2.97E-06,21.97562653,8.985321839,1.751085384,0.015952993,1.057673618,0.803814312,49.64912281,0.269230769,0.000414813,0.427861287,2.824984147,3.917,7.22614471,18.38698279,0.7834,0.00132705,2.81E-06,1.41E-06,4.29805,8.23,0.000333345,5.249025,0.906063413,0.688410013,1.306675338,0.319172526,0.705953884,0.485985723,0.022856113,8.253864278,0.803600607
JOHNSTOWN,DIOGENITE,Achondrite,52.922,0.12625,1.469,13.661125,26.032,0.488,1.5425,0.088333333,0.030333333,0.03,0.684,12.11,0.512522222,0.383414286,16.066,1.730526316,0.777,0.104438462,0.0734,0.449454545,0.055642857,0.171246154,0.163066667,0.034138462,2.765,4.35E-07,4.72E-06,8.36E-08,8.23E-08,9.26E-08,4.95E-09,6.35E-09,4.62E-07,13.12875,0.994,0.753765716,0.018746159,0.524781999,0.952350081,13.16563563,3.077594549,0.092158644,0.889338065,93.33333333,0.873548685,10.32527083,8.74425,0.174709737,2.58E-06,8.62E-08,1.58E-07,4.669491194,4.335312169,7.36E-07,3.969662661,1.128086292,0.49189373,0.729773768,1.797767453,1.333278748,0.655831457,0.002242294,25.37780877,0.228827331
TATAHOUINE,DIOGENITE,Achondrite,54.88666667,0.08,0.57,15.505,28.09,0.4575,0.7825,0.025,0.06,0.035,0.685,12.04538462,1.5756,0.3721125,16.91,0.587636364,0.316571429,0.006516667,0.04375,0.009125,0.00225,0.000433333,0.0674,0.0129,0.43,3.24E-07,2.03E-06,9.34E-08,9.22E-08,1.03E-07,2.42E-09,1.00E-08,4.34E-07,12.16333333,0.245,0.712323159,0.016286935,0.551975792,0.728434505,0.707364341,0.192592593,0.092733711,0.896570014,179.7334794,0.092108333,10.61333333,8.151239316,0.018421667,1.18E-06,9.61E-08,1.49E-07,4.455181115,4.664365705,3.86E-07,3.982196447,1.28721502,0.511781854,0.786109274,0.035188508,1.259012884,0.644339947,0.001548646,15.91176452,0.219459212
ALLAN HILLS A77005,MARTIAN (SHERGOTTITE),Achondrite,42.66,0.408,2.802,19.794,28.388,0.454,3.18,0.446,0.0314,0.408,0.9975,15.64666667,0.6018,0.356,16.65861,2.37,1.449555556,0.354777778,0.235714286,0.37788,0.506005263,0.24118,0.593533333,0.084417647,4.352857143,3.66E-07,6.29E-07,1.20E-08,8.41E-09,7.23E-08,4.97E-09,1.01E-08,7.00E-06,15.435,0.25,0.939254035,0.015992673,0.697266451,0.881132075,4.476315239,0.476635358,0.092733711,0.427861287,1409.255533,1.803016244,9.796175,10.44388889,0.360603249,4.97E-07,3.09E-08,2.34E-06,5.208235833,5.534822222,1.01E-06,4.709140536,1.265061781,0.665447726,1.059830188,0.440089712,0.885392885,0.589182682,0.011190811,12.53037283,0.366776059
PASAMONTE,EUCRITE-PMICT,Achondrite,48.355,0.6916,12.51833333,18.945,6.58,0.567166667,10.30833333,0.472,0.044,0.0994,0.284,14.1475,0.187625,0.4084,3.518571429,7.3342,6.743857143,0.354333333,0.429,2.953846154,1.789,0.6445,1.8845,0.282366667,31.613125,7.39E-08,5.53E-05,5.70E-09,9.18E-09,1.02E-08,1.03E-08,2.71E-08,3.92E-05,14.474,0.076666667,4.020807958,0.086195542,2.879179331,1.214389652,10.46102994,0.360257127,0.001337557,0.899509804,3801.356589,7.554212821,9.868029167,9.566055556,1.510842564,2.77E-05,8.36E-09,1.31E-05,4.487740476,4.914508333,1.18E-05,4.140435863,1.339105849,0.136076931,0.419313328,0.351010154,1.894417238,0.257786484,0.010671078,44.23772601,0.292575742
NUEVO LAREDO,EUCRITE-MMICT,Achondrite,49.48,0.91,11.89,19.9,5.48,0.565,10.3,0.522333333,0.05,0.11,0.286333333,15.297414,0.19384,0.449924,3.349275,7.4487,6.386688,0.38086,0.53751625,3.856666667,2.423333333,0.733777778,2.426666667,0.35419,38.95888889,1.47E-07,2.80E-05,3.35E-08,2.59E-08,3.30E-08,1.45E-08,2.00E-08,1.32E-05,15.42,0.21,4.567380702,0.10310219,3.631386861,1.154368932,10.88869439,0.302796882,0.005241503,0.783838384,912.4423963,9.794634444,9.799666667,10.309138,1.958926889,1.40E-05,3.08E-08,4.41E-06,4.39138075,5.313726,5.18E-06,4.255527156,1.300873468,0.110751819,0.413557113,0.302588846,1.949566588,0.215918046,0.011566963,38.77111234,0.309163581
STANNERN,EUCRITE-MMICT,Achondrite,48.57714286,0.893333333,12.12714286,17.96428571,6.84,0.5275,10.60285714,0.56,0.075857143,0.120333333,0.282857143,14.50583375,0.1983575,0.3882475,4.996436667,7.20443125,6.030190769,0.436950667,0.536576667,4.978695652,2.839704,0.773130435,2.702272727,0.399465217,52.48809524,3.80E-07,8.61E-05,5.84E-08,5.67E-08,6.38E-08,4.06E-08,5.97E-08,3.03E-05,14.19166667,0.846666667,2.903235789,0.077119883,2.626357561,1.143761789,12.46340216,0.272257402,0.004411351,0.888366627,747.1831966,11.69326803,9.928854167,9.848055694,2.338653606,4.33E-05,5.97E-08,1.01E-05,4.667002338,5.030812917,1.46E-05,4.287128096,1.238418006,0.140806964,0.408608477,0.279094735,1.958417324,0.275758797,0.013089637,35.74702308,0.298614387
